review_id,product_name,category,reviewer_id,rating,review_text,sentiment,is_fake,verified_purchase,helpful_votes,review_length,review_date,exclamation_count,capital_ratio
REV_00001,Electronics - Headphones,Electronics,9935,4,Love it! Exactly what I was looking for. Perfect!,positive,0,1,43,9,2025-09-14,2,0.08163265306122448
REV_00002,Electronics - Smartphone,Electronics,9928,4,Best purchase I made this year. Quality is outstanding! Would recommend.,positive,0,1,35,11,2025-03-28,1,0.05555555555555555
REV_00003,Sports - Dumbbells,Sports,3547,1,Terrible! Horrible! Awful! Stay away! Warning!,negative,1,0,3,6,2025-07-10,5,0.10869565217391304
REV_00004,Home - Mixer,Home,8527,3,Very good quality. Exceeded my expectations. Will buy again. Good delivery.,positive,0,1,38,11,2025-01-27,0,0.05333333333333334
REV_00005,Books - Fiction Novel,Books,4733,5,Best seller! Top quality! Must have! Recommended! Would recommend.,positive,1,1,5,9,2025-06-02,4,0.07575757575757576
REV_00006,Clothing - T-Shirt,Clothing,4432,5,Love it! Exactly what I was looking for. Perfect!,positive,0,1,10,9,2024-11-19,2,0.08163265306122448
REV_00007,Electronics - Camera,Electronics,4598,5,Perfect! Perfect! Perfect! Must buy! Great deal! Would recommend.,positive,1,0,3,9,2024-11-12,5,0.09230769230769231
REV_00008,Electronics - Laptop,Electronics,6155,2,Terrible experience. Product arrived damaged. Poor packaging. Quick response.,negative,0,1,4,9,2025-07-12,0,0.05194805194805195
REV_00009,Books - Comic,Books,7543,4,Excellent purchase. Works perfectly as described. Highly recommend!,positive,0,1,47,8,2025-04-26,1,0.04477611940298507
REV_00010,Clothing - Dress,Clothing,7916,4,Excellent excellent excellent! Perfect perfect perfect!,positive,1,1,1,6,2024-12-27,2,0.03636363636363636
REV_00011,Books - Cookbook,Books,2876,2,Complete waste! Garbage! Fake! Lies!,negative,1,0,0,5,2024-11-13,4,0.1111111111111111
REV_00012,Home - Lamp,Home,5315,5,Excellent purchase. Works perfectly as described. Highly recommend!,positive,0,0,0,8,2025-02-14,1,0.04477611940298507
REV_00013,Sports - Running Shoes,Sports,3646,2,Expected better quality. Cheap material. Not recommended.,negative,0,1,9,7,2025-01-25,0,0.05263157894736842
REV_00014,Sports - Running Shoes,Sports,6038,5,Great product! Really satisfied with the quality. Worth the money.,positive,0,1,23,10,2025-06-28,1,0.045454545454545456
REV_00015,Sports - Running Shoes,Sports,3103,5,Excellent excellent excellent! Perfect perfect perfect!,positive,1,1,4,6,2024-11-25,2,0.03636363636363636
REV_00016,Sports - Yoga Mat,Sports,7118,5,Excellent purchase. Works perfectly as described. Highly recommend!,positive,0,1,45,8,2025-03-18,1,0.04477611940298507
REV_00017,Books - Fiction Novel,Books,4608,3,Very good quality. Exceeded my expectations. Will buy again.,positive,0,1,37,9,2025-10-25,0,0.05
REV_00018,Electronics - Laptop,Electronics,5562,4,Excellent excellent excellent! Perfect perfect perfect!,positive,1,0,0,6,2024-11-20,2,0.03636363636363636
REV_00019,Sports - Yoga Mat,Sports,8062,3,Product broke after 2 weeks. Waste of money. Don't buy. Good delivery.,negative,0,0,26,12,2025-04-30,0,0.05714285714285714
REV_00020,Books - Fiction Novel,Books,2790,1,Not as described. Quality is poor. Disappointed with purchase.,negative,0,0,46,9,2025-06-23,0,0.04838709677419355
